,marca,modelo,version,precio,segmento
0,ABARTH,124 SPIDER,Abarth  1.4 170,35093.0,Deportivo bajo
2,ABARTH,124 SPIDER,Abarth  1.4 Scorpione 170,36511.0,Deportivo bajo
4,ABARTH,124 SPIDER,Abarth  1.4 Aut. 170,37961.0,Deportivo bajo
6,ABARTH,124 SPIDER,Abarth  1.4 Scorpione Aut. 170,38511.0,Deportivo bajo
8,FIAT,124 SPIDER,1.4 Multiair 140,23229.0,Deportivo bajo
10,FIAT,124 SPIDER,1.4 Multiair Lusso 140,25109.0,Deportivo bajo
12,FIAT,124 SPIDER,1.4 Multiair Lusso Aut. 140,30260.0,Deportivo bajo
14,FIAT,124 SPIDER,1.4 Multiair Europa 140,32260.0,Deportivo bajo
16,FIAT,124 SPIDER,1.4 Multiair America 140,32260.0,Deportivo bajo
18,FIAT,124 SPIDER,1.4 Multiair America Aut. 140,34260.0,Deportivo bajo
20,FIAT,124 SPIDER,1.4 Multiair Europa Aut. 140,34260.0,Deportivo bajo
22,ABARTH,595,Abarth  1.4T-Jet 145,15670.0,Superutilitario
23,ABARTH,595,Abarth C 1.4T-Jet 145,17316.0,Superutilitario
24,ABARTH,595,Abarth  1.4T-Jet Turismo 165,20497.0,Superutilitario
25,ABARTH,595,Abarth  1.4T-Jet 145 Aut.,21086.0,Superutilitario
26,ABARTH,595,Abarth  1.4T-Jet Pista 160,21861.0,Superutilitario
27,ABARTH,595,Abarth C 1.4T-Jet Turismo 165,22208.0,Superutilitario
28,ABARTH,595,Abarth C 1.4T-Jet 145 Aut.,22936.0,Superutilitario
29,ABARTH,595,Abarth  1.4T-Jet Competizione 180,23272.0,Superutilitario
30,ABARTH,595,Abarth C 1.4T-Jet Pista 160,23711.0,Superutilitario
31,ABARTH,595,Abarth  1.4T-Jet Pista 160 Aut.,23786.0,Superutilitario
32,ABARTH,595,Abarth C 1.4T-Jet Competizione180,24983.0,Superutilitario
33,ABARTH,595,Abarth  1.4T-Jet Turismo 165 Aut.,25086.0,Superutilitario
34,ABARTH,595,Abarth C 1.4T-Jet Pista 160 Aut.,25636.0,Superutilitario
35,ABARTH,595,Abarth 695 1.4T-Jet XSR Yamaha 165,25961.0,Superutilitario
36,ABARTH,595,Abarth C 1.4T-Jet Turismo 165 Aut.,26936.0,Superutilitario
37,ABARTH,595,Abarth 695 1.4T-Jet Rivale 180,27491.0,Superutilitario
38,ABARTH,595,Abarth 695C 1.4T-Jet XSR Yamaha 165,27811.0,Superutilitario
39,ABARTH,595,Abarth 695 1.4T-Jet XSR Yamaha 165 Aut.,27885.0,Superutilitario
40,ABARTH,595,Abarth  1.4T-Jet Competizione 180 Aut.,28086.0,Superutilitario
41,ABARTH,595,Abarth 695 1.4T-Jet Rivale 180 Aut.,29416.0,Superutilitario
42,ABARTH,595,Abarth 695C 1.4T-Jet Rivale 180,29491.0,Superutilitario
