,modelo,version,precio,segmento
0,124 SPIDER,Abarth  1.4 170,35093.0,Deportivo bajo
2,124 SPIDER,Abarth  1.4 Scorpione 170,36511.0,Deportivo bajo
4,124 SPIDER,Abarth  1.4 Aut. 170,37961.0,Deportivo bajo
6,124 SPIDER,Abarth  1.4 Scorpione Aut. 170,38511.0,Deportivo bajo
8,124 SPIDER,1.4 Multiair 140,23229.0,Deportivo bajo
10,124 SPIDER,1.4 Multiair Lusso 140,25109.0,Deportivo bajo
12,124 SPIDER,1.4 Multiair Lusso Aut. 140,30260.0,Deportivo bajo
14,124 SPIDER,1.4 Multiair Europa 140,32260.0,Deportivo bajo
16,124 SPIDER,1.4 Multiair America 140,32260.0,Deportivo bajo
18,124 SPIDER,1.4 Multiair America Aut. 140,34260.0,Deportivo bajo
20,124 SPIDER,1.4 Multiair Europa Aut. 140,34260.0,Deportivo bajo
22,595,Abarth  1.4T-Jet 145,15670.0,Superutilitario
23,595,Abarth C 1.4T-Jet 145,17316.0,Superutilitario
24,595,Abarth  1.4T-Jet Turismo 165,20497.0,Superutilitario
25,595,Abarth  1.4T-Jet 145 Aut.,21086.0,Superutilitario
26,595,Abarth  1.4T-Jet Pista 160,21861.0,Superutilitario
27,595,Abarth C 1.4T-Jet Turismo 165,22208.0,Superutilitario
28,595,Abarth C 1.4T-Jet 145 Aut.,22936.0,Superutilitario
29,595,Abarth  1.4T-Jet Competizione 180,23272.0,Superutilitario
30,595,Abarth C 1.4T-Jet Pista 160,23711.0,Superutilitario
31,595,Abarth  1.4T-Jet Pista 160 Aut.,23786.0,Superutilitario
32,595,Abarth C 1.4T-Jet Competizione180,24983.0,Superutilitario
33,595,Abarth  1.4T-Jet Turismo 165 Aut.,25086.0,Superutilitario
34,595,Abarth C 1.4T-Jet Pista 160 Aut.,25636.0,Superutilitario
35,595,Abarth 695 1.4T-Jet XSR Yamaha 165,25961.0,Superutilitario
36,595,Abarth C 1.4T-Jet Turismo 165 Aut.,26936.0,Superutilitario
37,595,Abarth 695 1.4T-Jet Rivale 180,27491.0,Superutilitario
38,595,Abarth 695C 1.4T-Jet XSR Yamaha 165,27811.0,Superutilitario
39,595,Abarth 695 1.4T-Jet XSR Yamaha 165 Aut.,27885.0,Superutilitario
40,595,Abarth  1.4T-Jet Competizione 180 Aut.,28086.0,Superutilitario
