Marca;Segmento;Modelo
TOTAL;;
ABARTH;Deportivo bajo;124 SPIDER
ABARTH;Superutilitario;500
ALFA ROMEO;Deportivo bajo;4C
ALFA ROMEO;Familiar;GIULIA
ALFA ROMEO;Compacto;GIULIETTA
ALFA ROMEO;Utilitario/Polivalente;MiTo
ASTON MARTIN;Deportivo alto;DB11
ASTON MARTIN;Deportivo alto;DB9
ASTON MARTIN;Gran lujo;RAPIDE
ASTON MARTIN;Deportivo alto;V12 VANTAGE
ASTON MARTIN;Deportivo alto;V8 VANTAGE
ASTON MARTIN;Deportivo alto;VANQUISH V12
AUDI;Utilitario/Polivalente;A1
AUDI;Compacto;A3
AUDI;Familiar;A4
AUDI;Familiar;A4 ALL ROAD
AUDI;Deportivo bajo;A5
AUDI;Familiar;A5
AUDI;Berlina;A6
AUDI;Berlina;A7
AUDI;Gran lujo;A8
AUDI;Berlina;ALL ROAD
AUDI;TTE Pequeño;Q2
AUDI;TTE Compacto;Q3
AUDI;TTE Familiar;Q5
AUDI;TTE Superior;Q7
AUDI;Deportivo alto;R8
AUDI;Deportivo bajo;TT
B.M.W.;Monovolumen polivalente;i3
B.M.W.;Deportivo alto;i8
B.M.W.;Compacto;SERIE 1
B.M.W.;Compacto;SERIE 2
B.M.W.;Monovolumen compacto;SERIE 2
B.M.W.;Deportivo bajo;SERIE 3
B.M.W.;Familiar;SERIE 3
B.M.W.;Deportivo bajo;SERIE 4
B.M.W.;Familiar;SERIE 4
B.M.W.;Berlina;SERIE 5
B.M.W.;Berlina;SERIE 6
B.M.W.;Deportivo alto;SERIE 6
B.M.W.;Gran lujo;SERIE 7
B.M.W.;TTE Compacto;X1
B.M.W.;TTE Familiar;X3
B.M.W.;TTE Familiar;X4
B.M.W.;TTE Superior;X5
B.M.W.;TTE Superior;X6
B.M.W.;Deportivo bajo;Z4
BENTLEY;TTE Superior;BENTAYGA
BENTLEY;Gran lujo;BENTLEY
BENTLEY;Gran lujo;CONTINENTAL
BENTLEY;Gran lujo;FLYING SPUR
